Fecha,S&P Colombia Sovereign Bond Index
31/08/2012,879.25
3/09/2012,881.41
4/09/2012,881.1
5/09/2012,880.94
6/09/2012,882.01
7/09/2012,883
10/09/2012,885.58
11/09/2012,885.14
12/09/2012,884.23
13/09/2012,885.72
14/09/2012,884.55
17/09/2012,884.55
18/09/2012,884.98
19/09/2012,884.75
20/09/2012,886.47
21/09/2012,885.82
24/09/2012,888.41
25/09/2012,889.17
26/09/2012,890.37
27/09/2012,890.59
28/09/2012,893.12
1/10/2012,891.99
2/10/2012,893.97
3/10/2012,894.23
4/10/2012,893.96
5/10/2012,895.7
8/10/2012,899.09
9/10/2012,900.45
10/10/2012,899.2
11/10/2012,899.62
12/10/2012,903.26
15/10/2012,903.84
16/10/2012,904.23
17/10/2012,902.47
18/10/2012,900.76
19/10/2012,904.19
22/10/2012,905.19
23/10/2012,904.07
24/10/2012,904.28
25/10/2012,903.28
26/10/2012,905.43
29/10/2012,905.55
30/10/2012,902.5
31/10/2012,901.73
1/11/2012,902.23
2/11/2012,898.82
5/11/2012,901.32
6/11/2012,901.17
7/11/2012,902.93
8/11/2012,903.35
9/11/2012,901.02
12/11/2012,901.65
13/11/2012,901.13
14/11/2012,900.43
15/11/2012,900.23
16/11/2012,899.77
19/11/2012,900.83
20/11/2012,901.47
21/11/2012,902.35
22/11/2012,901.53
23/11/2012,903.09
26/11/2012,908.68
27/11/2012,910.21
28/11/2012,910.25
29/11/2012,910.52
30/11/2012,911.56
3/12/2012,911.73
4/12/2012,911.46
5/12/2012,912.4
6/12/2012,912.97
7/12/2012,915.45
10/12/2012,916.87
11/12/2012,913.47
12/12/2012,911.97
13/12/2012,913.19
14/12/2012,915.92
17/12/2012,915.05
18/12/2012,917.12
19/12/2012,917.07
20/12/2012,916.58
21/12/2012,920.86
24/12/2012,925.73
25/12/2012,925.92
26/12/2012,925.8
27/12/2012,925.77
28/12/2012,926.06
31/12/2012,926.84
1/01/2013,927.02
2/01/2013,927.05
3/01/2013,927.59
4/01/2013,927.91
7/01/2013,928.42
8/01/2013,931.72
9/01/2013,932.1
10/01/2013,936.03
11/01/2013,935.89
14/01/2013,938.26
15/01/2013,938.01
16/01/2013,938.02
17/01/2013,942.16
18/01/2013,940.82
21/01/2013,941.53
22/01/2013,942.62
23/01/2013,945.64
24/01/2013,945.47
25/01/2013,944.91
28/01/2013,945.65
29/01/2013,945.69
30/01/2013,944.7
31/01/2013,945.82
1/02/2013,946.37
4/02/2013,946.74
5/02/2013,946.51
6/02/2013,946.82
7/02/2013,952.18
8/02/2013,952.59
11/02/2013,951.89
12/02/2013,952.66
13/02/2013,953.75
14/02/2013,953.62
15/02/2013,955.54
18/02/2013,956.11
19/02/2013,956.25
20/02/2013,956.2
21/02/2013,958.27
22/02/2013,958.52
25/02/2013,959.44
26/02/2013,958.32
27/02/2013,958.49
28/02/2013,959.52
1/03/2013,961.15
4/03/2013,961.3
5/03/2013,962.97
6/03/2013,963.26
7/03/2013,966.4
8/03/2013,964.22
11/03/2013,964.27
12/03/2013,963.19
13/03/2013,963.58
14/03/2013,963.6
15/03/2013,962.88
18/03/2013,964.99
19/03/2013,963.86
20/03/2013,961.68
21/03/2013,959.39
22/03/2013,958.17
25/03/2013,959.13
26/03/2013,959.43
27/03/2013,961.2
28/03/2013,967.25
29/03/2013,967.64
1/04/2013,966.81
2/04/2013,966.77
3/04/2013,962.38
4/04/2013,959.83
5/04/2013,963.8
8/04/2013,964.63
9/04/2013,965.68
10/04/2013,963.7
11/04/2013,964.64
12/04/2013,966.38
15/04/2013,965.45
16/04/2013,965.57
17/04/2013,966.39
18/04/2013,967.52
19/04/2013,967.83
22/04/2013,969.49
23/04/2013,968.9
24/04/2013,969.1
25/04/2013,970.02
26/04/2013,970.1
29/04/2013,969.1
30/04/2013,968.07
1/05/2013,969.6
2/05/2013,969.28
3/05/2013,968.24
6/05/2013,966.99
7/05/2013,962.18
8/05/2013,964.67
9/05/2013,965.31
10/05/2013,963.67
13/05/2013,964.38
14/05/2013,964.32
15/05/2013,963.66
16/05/2013,964.14
17/05/2013,962.7
20/05/2013,963.26
21/05/2013,962.38
22/05/2013,962.63
23/05/2013,959.32
24/05/2013,957.6
27/05/2013,958.09
28/05/2013,955.34
29/05/2013,951.79
30/05/2013,945.42
31/05/2013,939.38
3/06/2013,938.99
4/06/2013,940.62
5/06/2013,927.83
6/06/2013,921.9
7/06/2013,925.76
10/06/2013,925.92
11/06/2013,918.98
12/06/2013,916.78
13/06/2013,913.11
14/06/2013,920.85
17/06/2013,920.98
18/06/2013,919.99
19/06/2013,918.4
20/06/2013,908.88
21/06/2013,900.99
24/06/2013,896.77
25/06/2013,898.77
26/06/2013,903.1
27/06/2013,904.33
28/06/2013,910.26
1/07/2013,911.21
2/07/2013,911.09
3/07/2013,908.35
4/07/2013,908.81
5/07/2013,907.3
